gc_content,gc_5prime,gc_50nt,at_5prime,rare_codon_frac,cds_length,n_codons,wt_idx,wt_aa_len,gc_content_z,gc_5prime_z,gc_50nt_z,at_5prime_z,rare_codon_frac_z,cds_length_z
0.5868725868725869,0.38095238095238093,0.56,0.6190476190476191,0.019305019305019305,777,259,0,259,0.3657607637247387,-1.3315286306410319,0.632240056590032,1.3315286306410345,-0.19182224998717712,1.8411960246506702
0.5797665369649806,0.38095238095238093,0.56,0.6190476190476191,0.023346303501945526,771,257,1,257,0.0032461302252392325,-1.3315286306410319,0.632240056590032,1.3315286306410345,0.615144963914861,1.5551938630051811
0.5752895752895753,0.5238095238095238,0.5,0.47619047619047616,0.023166023166023165,777,259,2,259,-0.22514575303660644,0.3882862031580464,-0.4166528994842399,-0.38828620315804374,0.5791464264917213,1.8411960246506702
0.5551020408163265,0.47619047619047616,0.54,0.5238095238095238,0.024489795918367346,735,245,3,245,-1.2550113965349412,-0.1849854081083135,0.28260907123194134,0.18498540810831615,0.8434785441416295,-0.1608191068677537
0.5606060606060606,0.47619047619047616,0.48,0.5238095238095238,0.01652892561983471,726,242,4,242,-0.9742242162037612,-0.1849854081083135,-0.7662838848423305,0.18498540810831615,-0.7461551000174594,-0.5898223493359874
0.5622489959839357,0.47619047619047616,0.54,0.5238095238095238,0.020080321285140562,747,249,5,249,-0.8904099840891982,-0.1849854081083135,0.28260907123194134,0.18498540810831615,-0.037009262742418295,0.4111852164232246
0.563265306122449,0.47619047619047616,0.52,0.5238095238095238,0.0163265306122449,735,245,6,245,-0.8385629942459971,-0.1849854081083135,-0.06702191412614926,0.18498540810831615,-0.78656951469947,-0.1608191068677537
0.5564738292011019,0.2857142857142857,0.44,0.7142857142857143,0.02066115702479339,726,242,7,242,-1.1850297090979578,-2.4780718531737502,-1.4655458555585108,2.478071853173753,0.07897253307359327,-0.5898223493359874
0.5997267759562842,0.5714285714285714,0.62,0.4285714285714286,0.01639344262295082,732,244,8,244,1.0215163107863907,0.9615578144244049,1.6811330126643018,-0.9615578144244022,-0.7732084650368382,-0.30382018769049823
0.5673469387755102,0.47619047619047616,0.52,0.5238095238095238,0.024489795918367346,735,245,9,245,-0.6303387931015222,-0.1849854081083135,-0.06702191412614926,0.18498540810831615,0.8434785441416295,-0.1608191068677537
0.5706447187928669,0.5238095238095238,0.52,0.47619047619047616,0.024691358024691357,729,243,10,243,-0.4621027787337679,0.3882862031580464,-0.06702191412614926,-0.38828620315804374,0.8837266443599282,-0.44682126851324283
0.5737704918032787,0.42857142857142855,0.52,0.5714285714285714,0.020491803278688523,732,244,11,244,-0.30264168966104404,-0.7582570193746727,-0.06702191412614926,0.7582570193746747,0.04515582679936937,-0.30382018769049823
0.5542168674698795,0.3333333333333333,0.44,0.6666666666666667,0.028112449799196786,747,249,12,249,-1.3001684522048262,-1.904800241907391,-1.4655458555585108,1.9048002419073946,1.5668532851132824,0.4111852164232246
